Name,Points,Unnamed: 1_level_0Age,GamesG,GamesGS,RushingRush,RushingYds,RushingTD,Rushing1D,RushingLng,RushingY/A,RushingY/G,RushingA/G,ReceivingTgt,ReceivingRec,ReceivingYds,ReceivingY/R,ReceivingTD,Receiving1D,ReceivingLng,ReceivingR/G,ReceivingY/G,ReceivingCtch%,ReceivingY/Tgt,Total YdsTouch,Total YdsY/Tch,Total YdsYScm,Unnamed: 29_level_0RRTD,Unnamed: 30_level_0Fmb
Raheem Mostert,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Raheem Mostert,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raheem Mostert,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raheem Mostert,0,24,3,0,1,6,0,0,6,6,2,0.3,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,0
Raheem Mostert,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raheem Mostert,0,0,1,0,1,6,0,0,6,6,6,1,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,0
Raheem Mostert,95.8,25,11,0,6,30,0,1,16,5,2.7,0.5,0,0,0,0,0,0,0,0,0,0,0,6,5,30,0,1
Raheem Mostert,355.6,26,9,0,34,261,1,13,52,7.7,29,3.8,7,6,25,4.2,0,1,23,0.7,2.8,0.857,3.6,40,7.2,286,1,1
Raheem Mostert,235.1,27,16,0,137,772,8,31,41,5.6,48.3,8.6,22,14,180,12.9,2,6,39,0.9,11.3,0.636,8.2,151,6.3,952,10,2
Raheem Mostert,0,28,8,8,104,521,2,22,80,5,65.1,13,19,16,156,9.8,1,5,76,2,19.5,0.842,8.2,120,5.6,677,3,1
Raheem Mostert,386.9,29,1,1,2,20,0,1,11,10,20,2,0,0,0,0,0,0,0,0,0,0,0,2,10,20,0,0
James Conner,566,22,14,0,32,144,0,4,23,4.5,10.3,2.3,1,0,0,0,0,0,0,0,0,0,0,32,4.5,144,0,0
James Conner,288.5,23,13,12,215,973,12,56,30,4.5,74.8,16.5,71,55,497,9,1,20,29,4.2,38.2,0.775,7,270,5.4,1470,13,4
James Conner,347.8,24,10,10,116,464,4,26,25,4,46.4,11.6,38,34,251,7.4,3,14,26,3.4,25.1,0.895,6.6,150,4.8,715,7,1
James Conner,479.1,25,13,11,169,721,6,42,59,4.3,55.5,13,43,35,215,6.1,0,10,18,2.7,16.5,0.814,5,204,4.6,936,6,2
James Conner,412.6,26,15,6,202,752,15,53,35,3.7,50.1,13.5,39,37,375,10.1,3,18,45,2.5,25,0.949,9.6,239,4.7,1127,18,2
D.K. Metcalf,531.9,22,16,15,2,11,0,0,7,5.5,0.7,0.1,100,58,900,15.5,7,39,54,3.6,56.3,0.58,9,60,15.2,911,7,3
D.K. Metcalf,436.9,23,16,16,0,0,0,0,0,0,0,0,129,83,1303,15.7,10,63,62,5.2,81.4,0.643,10.1,83,15.7,1303,10,1
D.K. Metcalf,436.4,24,17,17,1,6,0,0,6,6,0.4,0.1,129,75,967,12.9,12,48,84,4.4,56.9,0.581,7.5,76,12.8,973,12,1
Jeff Wilson,74.7,23,6,2,66,266,0,13,18,4,44.3,11,15,12,98,8.2,0,5,24,2,16.3,0.8,6.5,78,4.7,364,0,3
Jeff Wilson,288.9,24,10,0,27,105,4,9,25,3.9,10.5,2.7,5,3,34,11.3,1,1,25,0.3,3.4,0.6,6.8,30,4.6,139,5,0
Jeff Wilson,114.5,25,12,3,126,600,7,31,34,4.8,50,10.5,28,13,133,10.2,3,8,21,1.1,11.1,0.464,4.8,139,5.3,733,10,2
Jeff Wilson,365.5,26,9,4,79,294,2,19,17,3.7,32.7,8.8,8,7,31,4.4,0,1,11,0.8,3.4,0.875,3.9,86,3.8,325,2,1
Brandon Aiyuk,334.9,22,12,11,6,77,2,3,38,12.8,6.4,0.5,96,60,748,12.5,5,42,49,5,62.3,0.625,7.8,66,12.5,825,7,0
Brandon Aiyuk,435.4,23,17,16,5,17,0,0,8,3.4,1,0.3,84,56,826,14.8,5,37,43,3.3,48.6,0.667,9.8,61,13.8,843,5,2
Tyler Lockett,266.3,23,16,8,5,20,0,1,8,4,1.3,0.3,69,51,664,13,6,31,49,3.2,41.5,0.739,9.6,56,12.2,684,6,2
Tyler Lockett,240.9,24,15,9,6,114,1,4,75,19,7.6,0.4,66,41,597,14.6,1,23,57,2.7,39.8,0.621,9,47,15.1,711,2,0
Tyler Lockett,423.2,25,16,8,10,58,0,5,22,5.8,3.6,0.6,71,45,555,12.3,2,24,74,2.8,34.7,0.634,7.8,55,11.1,613,2,0
Tyler Lockett,443.6,26,16,14,13,69,0,3,18,5.3,4.3,0.8,70,57,965,16.9,10,37,52,3.6,60.3,0.814,13.8,70,14.8,1034,10,2
Tyler Lockett,474.2,27,16,16,4,-5,0,0,3,-1.3,-0.3,0.3,110,82,1057,12.9,8,53,44,5.1,66.1,0.745,9.6,86,12.2,1052,8,1
Tyler Lockett,476.2,28,16,16,0,0,0,0,0,0,0,0,132,100,1054,10.5,10,57,47,6.3,65.9,0.758,8,100,10.5,1054,10,1
Tyler Lockett,443.9,29,16,16,2,9,0,0,7,4.5,0.6,0.1,107,73,1175,16.1,8,41,69,4.6,73.4,0.682,11,75,15.8,1184,8,0
Tee Higgins,435.3,21,16,14,5,28,0,1,13,5.6,1.8,0.3,108,67,908,13.6,6,52,67,4.2,56.8,0.62,8.4,72,13,936,6,1
Tee Higgins,424.7,22,14,14,0,0,0,0,0,0,0,0,110,74,1091,14.7,6,53,54,5.3,77.9,0.673,9.9,74,14.7,1091,6,1
Chris Godwin,345.6,21,16,2,0,0,0,0,0,0,0,0,55,34,525,15.4,1,27,70,2.1,32.8,0.618,9.5,34,15.4,525,1,0
